Item,Quantity,Price,Total
shirt,2,599,5990
egg,7,6,12
cake,7,40,200
ball,1,15,90
fish,5,20,180
apple,10,100,100
coffee,6,20,80
yoyo,2,199,1393
yoyo,1,199,1393
egg,1,6,12
cake,10,40,200
egg,4,6,12
shirt,7,599,5990
cake,5,40,200
shirt,4,599,5990
apple,6,100,100
pencil 3,9,3,9
apple,9,100,100
fish,7,20,180
fish,2,20,180
pencil 3,4,3,9
pencil 3,8,3,9
cake,1,40,200
shirt,8,599,5990
fish,1,20,180
shirt,4,599,5990
cake,2,40,200
cake,5,40,200
ball,6,15,90
yoyo,10,199,1393
egg,5,6,12
egg,10,6,12
yoyo,7,199,1393
apple,2,100,100
egg,4,6,12
coffee,8,20,80
fish,6,20,180
coffee,1,20,80
apple,8,100,100
fish,6,20,180
fish,5,20,180
coffee,7,20,80
apple,6,100,100
shirt,1,599,5990
cake,5,40,200
yoyo,6,199,1393
pencil 3,4,3,9
yoyo,7,199,1393
yoyo,4,199,1393
fish,3,20,180
fish,2,20,180
yoyo,9,199,1393
fish,9,20,180
pencil 3,8,3,9
pencil 3,8,3,9
shirt,9,599,5990
shirt,2,599,5990
shirt,3,599,5990
juice,5,50,400
fish,9,20,180
shirt,8,599,5990
ball,2,15,90
egg,4,6,12
yoyo,8,199,1393
coffee,2,20,80
coffee,10,20,80
egg,9,6,12
ball,7,15,90
juice,2,50,400
fish,10,20,180
juice,2,50,400
ball,3,15,90
cake,6,40,200
shirt,1,599,5990
egg,5,6,12
yoyo,9,199,1393
juice,5,50,400
ball,2,15,90
egg,9,6,12
cake,5,40,200
cake,1,40,200
egg,4,6,12
shirt,2,599,5990
yoyo,8,199,1393
juice,1,50,400
coffee,6,20,80
pencil 3,2,3,9
apple,7,100,100
apple,6,100,100
juice,5,50,400
juice,1,50,400
ball,6,15,90
egg,1,6,12
fish,4,20,180
juice,2,50,400
apple,1,100,100
cake,6,40,200
fish,5,20,180
ball,1,15,90
egg,8,6,12
